year,kanpur_temp,global_temp
1796,24.59,8.27
1797,26.21,8.51
1798,23.82,8.67
1799,24.85,8.51
1800,24.79,8.48
1801,23.74,8.59
1802,25.23,8.58
1803,24.98,8.50
1804,25.30,8.84
1805,24.89,8.56
1806,24.80,8.43
1807,24.39,8.28
1808,,7.63
1809,,7.08
1810,,6.92
1811,,6.86
1812,,7.05
1813,24.14,7.74
1814,23.32,7.59
1815,23.67,7.24
1816,23.33,6.94
1817,23.45,6.98
1818,23.80,7.83
1819,23.44,7.37
1820,23.67,7.62
1821,24.43,8.09
1822,24.55,8.19
1823,24.29,7.72
1824,24.89,8.55
1825,24.69,8.39
1826,24.71,8.36
1827,24.90,8.81
1828,24.49,8.17
1829,24.30,7.94
1830,24.61,8.52
1831,24.05,7.64
1832,24.30,7.45
1833,24.44,8.01
1834,24.36,8.15
1835,23.43,7.39
1836,24.17,7.70
1837,24.06,7.38
1838,24.03,7.51
1839,24.10,7.63
1840,24.35,7.80
1841,24.17,7.69
1842,24.32,8.02
1843,24.30,8.17
1844,23.93,7.65
1845,24.19,7.85
1846,24.65,8.55
1847,24.18,8.09
1848,24.03,7.98
1849,24.05,7.98
1850,24.44,7.90
1851,24.37,8.18
1852,24.19,8.10
1853,24.53,8.04
1854,24.63,8.21
1855,24.76,8.11
1856,23.45,8.00
1857,23.86,7.76
1858,,8.10
1859,,8.25
1860,,7.96
1861,,7.85
1862,,7.56
1863,,8.11
1864,,7.98
1865,26.76,8.18
1866,24.65,8.29
1867,24.75,8.44
1868,24.43,8.25
1869,24.57,8.43
1870,24.44,8.20
1871,24.51,8.12
1872,24.52,8.19
1873,24.62,8.35
1874,24.53,8.43
1875,24.84,7.86
1876,24.67,8.08
1877,24.83,8.54
1878,24.94,8.83
1879,24.43,8.17
1880,24.79,8.12
1881,24.44,8.27
1882,24.39,8.13
1883,24.35,7.98
1884,24.21,7.77
1885,24.11,7.92
1886,24.44,7.95
1887,24.31,7.91
1888,24.52,8.09
1889,24.90,8.32
1890,24.53,7.97
1891,24.30,8.02
1892,25.06,8.07
1893,23.53,8.06
1894,24.54,8.16
1895,24.68,8.15
1896,25.57,8.21
1897,25.32,8.29
1898,24.94,8.18
1899,25.02,8.40
1900,25.14,8.50
1901,25.02,8.54
1902,25.17,8.30
1903,24.82,8.22
1904,24.56,8.09
1905,24.13,8.23
1906,24.79,8.38
1907,24.68,7.95
1908,24.93,8.19
1909,24.52,8.18
1910,24.47,8.22
1911,24.79,8.18
1912,24.71,8.17
1913,24.51,8.30
1914,24.77,8.59
1915,25.06,8.59
1916,24.58,8.23
1917,23.60,8.02
1918,24.72,8.13
1919,24.48,8.38
1920,24.76,8.36
1921,25.35,8.57
1922,24.74,8.41
1923,25.00,8.42
1924,24.94,8.51
1925,24.40,8.53
1926,24.58,8.73
1927,24.60,8.52
1928,25.28,8.63
1929,24.99,8.24
1930,24.91,8.63
1931,25.36,8.72
1932,25.21,8.71
1933,24.28,8.34
1934,24.64,8.63
1935,24.60,8.52
1936,24.33,8.55
1937,24.32,8.70
1938,24.71,8.86
1939,24.75,8.76
1940,24.65,8.76
1941,25.67,8.77
1942,25.09,8.73
1943,24.94,8.76
1944,24.59,8.85
1945,24.41,8.58
1946,24.95,8.68
1947,25.21,8.80
1948,25.02,8.75
1949,25.00,8.59
1950,24.43,8.37
1951,25.12,8.63
1952,25.31,8.64
1953,25.54,8.87
1954,25.15,8.56
1955,24.70,8.63
1956,24.75,8.28
1957,24.66,8.73
1958,25.74,8.77
1959,25.30,8.73
1960,25.23,8.58
1961,24.53,8.80
1962,24.82,8.75
1963,24.90,8.86
1964,24.98,8.41
1965,24.98,8.53
1966,25.58,8.60
1967,24.77,8.70
1968,24.64,8.52
1969,25.43,8.60
1970,24.93,8.70
1971,24.09,8.60
1972,25.06,8.50
1973,25.23,8.95
1974,25.14,8.47
1975,24.82,8.74
1976,25.05,8.35
1977,25.15,8.85
1978,24.66,8.69
1979,25.51,8.73
1980,25.31,8.98
1981,25.05,9.17
1982,24.92,8.64
1983,24.43,9.03
1984,25.00,8.69
1985,25.44,8.66
1986,25.00,8.83
1987,25.82,8.99
1988,25.60,9.20
1989,24.95,8.92
1990,25.12,9.23
1991,25.32,9.18
1992,25.27,8.84
1993,25.27,8.87
1994,25.33,9.04
1995,25.55,9.35
1996,25.31,9.04
1997,24.71,9.20
1998,25.46,9.52
1999,25.78,9.29
2000,25.35,9.20
2001,25.33,9.41
2002,26.12,9.57
2003,25.41,9.53
2004,25.59,9.32
2005,25.62,9.70
2006,25.85,9.53
2007,25.44,9.73
2008,25.11,9.43
2009,25.99,9.51
2010,26.02,9.70
2011,25.06,9.52
2012,25.45,9.51
2013,26.12,9.61
